"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2025-04-10 17:28:44","2025-04-10 17:35:44","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","6 I:: Disk read request responses are too high (read > 0.02s for 15m","7m","No","","Application: Disk 6 I:"
"Warning","2025-04-10 17:27:46","2025-04-10 17:32:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Warning","2025-04-10 17:25:29","2025-04-10 17:45:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: More than 100 items having missing data for more than 10 minutes","20m","No","","Application: Zabbix server"
"Disaster","2025-04-10 17:19:40","2025-04-10 17:20:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 17:19:39","2025-04-10 17:20:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 17:17:46","2025-04-10 17:22:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Disaster","2025-04-10 17:17:40","2025-04-10 17:18:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 17:17:40","2025-04-10 17:18:40","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 17:16:30","2025-04-10 17:25:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/0(): High error rate ( > 2 for 5m)","9m","No","","Application: Interface Internal-Data0/0()"
"Average","2025-04-10 17:15:44","2025-04-10 17:18:44","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","6 J:: Disk read request responses are too high (read > 0.02s for 15m","3m","No","","Application: Disk 6 J:"
"Average","2025-04-10 17:15:41","2025-04-10 17:18:41","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","3 G:: Disk read request responses are too high (read > 0.02s for 15m","3m","No","","Application: Disk 3 G:"
"Average","2025-04-10 17:15:40","2025-04-10 17:18:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","3m","No","","Application: Disk 1 D:"
"Average","2025-04-10 17:15:17","2025-04-10 17:41:17","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","3 G:: Disk is overloaded (util > 92% for 15m)","26m","No","","Application: Disk 3 G:"
"Average","2025-04-10 17:14:20","2025-04-10 17:41:20","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","6 J:: Disk is overloaded (util > 92% for 15m)","27m","No","","Application: Disk 6 J:"
"Information","2025-04-10 17:13:35","2025-04-10 17:53:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","40m","No","","Application: General"
"High","2025-04-10 17:12:41","2025-04-10 18:00:41","RESOLVED","(CTEC) SERVIDOR HEPPBIODS01","High Memory Utilization ( >90% for 10m)","48m","No","Actions (2)","Application: Memory"
"Warning","2025-04-10 17:04:30","2025-04-10 17:07:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/0(): High error rate ( > 2 for 5m)","3m","No","","Application: Interface Internal-Data0/0()"
"Information","2025-04-10 17:03:35","2025-04-10 17:08:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","5m","No","","Application: General"
"Disaster","2025-04-10 17:01:35","2025-04-10 21:16:35","RESOLVED","API STATUS INFOBIT","Infobit WhatsApp Business No Operativo","4h 15m","No","Actions (4)","Applicaction: Status"
"Disaster","2025-04-10 17:01:33","2025-04-10 21:16:33","RESOLVED","API STATUS INFOBIT","Infobit RCS No Operativo","4h 15m","No","Actions (4)","Applicaction: Status"
"Information","2025-04-10 16:58:35","2025-04-10 17:03:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","5m","No","","Application: General"
"Average","2025-04-10 16:58:31","2025-04-10 18:25:31","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","8 K:: Disk is overloaded (util > 92% for 15m)","1h 27m","No","","Application: Disk 8 K:"
"Information","2025-04-10 16:47:56","2025-04-10 16:52:57","RESOLVED","(NAP) N3K - A","Interface Ethernet1/25(LaptopRemoteHands): Ethernet has changed to lower speed than it was before","5m 1s","No","","Application: Interface Ethernet1/25(LaptopRemoteHands)"
"Warning","2025-04-10 16:47:46","2025-04-10 16:52:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Warning","2025-04-10 16:46:17","2025-04-10 17:52:17","RESOLVED","(NAP) Cisco UCS Manager vSAN B","sys/rack-unit-6/board/cpu-2/env-stats: Temperature is above warning threshold: >50","1h 6m","No","","Application: Temperature"
"Average","2025-04-10 16:44:56","2025-04-10 16:45:56","RESOLVED","(NAP) N3K - A","Interface Ethernet1/25(LaptopRemoteHands): Link down","1m","No","","Application: Interface Ethernet1/25(LaptopRemoteHands)"
"Disaster","2025-04-10 16:38:44","2025-04-10 16:39:39","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","55s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 16:38:42","2025-04-10 16:39:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Information","2025-04-10 16:38:35","2025-04-10 16:53:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","15m","No","","Application: General"
"Warning","2025-04-10 16:37:46","2025-04-10 16:42:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Warning","2025-04-10 16:35:29","2025-04-10 17:05:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: More than 100 items having missing data for more than 10 minutes","30m","No","","Application: Zabbix server"
"High","2025-04-10 16:33:38","2025-04-10 16:34:38","RESOLVED","(CTEC) SERVIDOR ILUPBIREP01","C:: High Disk Space Utilization (used > 85%)","1m","No","Actions (2)","Application: Filesystem C:"
"Information","2025-04-10 16:28:35","2025-04-10 16:33:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","5m","No","","Application: General"
"Warning","2025-04-10 16:28:30","2025-04-10 16:40:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","12m","No","","Application: Interface Internal-Data0/1()"
"Information","2025-04-10 16:23:35","2025-04-10 16:28:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","5m","No","","Application: General"
"Average","2025-04-10 16:14:40","2025-04-10 16:17:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","3m","No","","Application: Disk 1 D:"
"Information","2025-04-10 16:13:35","2025-04-10 16:18:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","5m","No","","Application: General"
"Warning","2025-04-10 16:13:30","2025-04-10 16:19:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","6m","No","","Application: Interface Internal-Data0/1()"
"Information","2025-04-10 16:08:35","2025-04-10 16:13:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","5m","No","","Application: General"
"Information","2025-04-10 16:03:35","2025-04-10 16:08:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","5m","No","","Application: General"
"Average","2025-04-10 15:59:33","2025-04-10 19:13:33","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","10 O:: Disk is overloaded (util > 92% for 15m)","3h 14m","No","","Application: Disk 10 O:"
"High","2025-04-10 15:57:26","2025-04-11 02:00:26","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","High Memory Utilization (over  85%)","10h 3m","No","Actions (2)","Application: Memory"
"Disaster","2025-04-10 15:56:46","2025-04-10 15:57:46","RESOLVED","(UVA) VPN NAP x UVA CASA","ICMP PING is unavailable","1m","No","Actions (2)","Application: ICMP, GLPI: Yes, GLPICat: 2878"
"Warning","2025-04-10 15:47:54","2025-04-10 15:57:54","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","CPU queue length is too high (over 3 for 15m)","10m","No","","Application: CPU"
"Disaster","2025-04-10 15:46:41","2025-04-10 15:47:42","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m 1s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 15:46:39","2025-04-10 15:47:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 15:38:39","2025-04-10 19:18:39","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","High swap space usage ( more than 80% used)","3h 40m","No","","Application: Memory"
"Average","2025-04-10 15:37:39","2025-04-10 15:38:40","RESOLVED","(CTEC) ILUPLB01","Virtual server /Common/vip_ilum_uat_elk_80 is not available in some capacity: red (3)","1m 1s","No","","Application: Virtual server status"
"Disaster","2025-04-10 15:37:38","2025-04-10 15:38:43","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_ilum_uat_elk_5601 is not available in some capacity: red (3)","1m 5s","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 15:35:27","2025-04-10 17:25:31","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","Interface vmxnet3 Ethernet Adapter(Ethernet0): High bandwidth usage ( > 90% )","1h 50m 4s","No","","Application: Interface vmxnet3 Ethernet Adapter(Ethernet0), Application: Network interfaces"
"Average","2025-04-10 15:32:29","2025-04-10 17:54:29","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","6 I:: Disk is overloaded (util > 92% for 15m)","2h 22m","No","","Application: Disk 6 I:"
"Warning","2025-04-10 15:19:30","2025-04-10 15:25:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/0(): High error rate ( > 2 for 5m)","6m","No","","Application: Interface Internal-Data0/0()"
"Average","2025-04-10 15:14:40","2025-04-10 15:16:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","2m","No","","Application: Disk 1 D:"
"Warning","2025-04-10 15:13:30","2025-04-10 15:19:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","6m","No","","Application: Interface Internal-Data0/1()"
"Disaster","2025-04-10 14:58:41","2025-04-10 14:59:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 14:58:39","2025-04-10 14:59:39","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 14:52:18","2025-04-10 15:58:17","RESOLVED","(NAP) Cisco UCS Manager vSAN B","sys/rack-unit-6/board/cpu-2/env-stats: Temperature is above warning threshold: >50","1h 5m 59s","No","","Application: Temperature"
"High","2025-04-10 14:49:19","2025-04-21 10:16:19","RESOLVED","(NAP) Cisco UCS Manager vSAN A","sys/rack-unit-1/board/cpu-2/env-stats: Temperature is above critical threshold: >60","10d 19h 27m","No","","Application: Temperature"
"Warning","2025-04-10 14:34:30","2025-04-10 14:40:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","6m","No","","Application: Interface Internal-Data0/1()"
"Warning","2025-04-10 14:34:30","2025-04-10 14:43:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/0(): High error rate ( > 2 for 5m)","9m","No","","Application: Interface Internal-Data0/0()"
"Warning","2025-04-10 14:25:29","2025-04-10 16:25:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: More than 100 items having missing data for more than 10 minutes","2h","No","","Application: Zabbix server"
"Average","2025-04-10 14:23:31","2025-04-10 14:51:31","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","8 K:: Disk is overloaded (util > 92% for 15m)","28m","No","","Application: Disk 8 K:"
"Average","2025-04-10 14:22:48","2025-04-10 14:51:48","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","10 O:: Disk read request responses are too high (read > 0.02s for 15m","29m","No","","Application: Disk 10 O:"
"Information","2025-04-10 14:18:35","2025-04-10 15:58:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","1h 40m","No","","Application: General"
"Average","2025-04-10 14:14:40","2025-04-10 14:17:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","3m","No","","Application: Disk 1 D:"
"Warning","2025-04-10 14:13:30","2025-04-10 14:19:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","6m","No","","Application: Interface Internal-Data0/1()"
"Information","2025-04-10 14:08:35","2025-04-10 14:13:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Information","2025-04-10 14:03:35","2025-04-10 14:08:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Warning","2025-04-10 13:55:30","2025-04-10 14:15:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: More than 100 items having missing data for more than 10 minutes","19m 59s","No","","Application: Zabbix server"
"Information","2025-04-10 13:53:35","2025-04-10 13:58:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Information","2025-04-10 13:43:35","2025-04-10 13:48:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Average","2025-04-10 13:38:20","2025-04-10 13:39:20","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","6 J:: Disk is overloaded (util > 92% for 15m)","1m","No","","Application: Disk 6 J:"
"Average","2025-04-10 13:34:48","2025-04-10 14:02:48","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","10 O:: Disk read request responses are too high (read > 0.02s for 15m","28m","No","","Application: Disk 10 O:"
"Average","2025-04-10 13:32:31","2025-04-10 14:02:31","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","8 K:: Disk is overloaded (util > 92% for 15m)","30m","No","","Application: Disk 8 K:"
"Disaster","2025-04-10 13:26:39","2025-04-10 13:27:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 13:22:40","2025-04-10 13:24:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","2m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 13:22:39","2025-04-10 13:23:43","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m 4s","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 13:15:29","2025-04-10 13:45:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: More than 100 items having missing data for more than 10 minutes","30m","No","","Application: Zabbix server"
"Average","2025-04-10 13:14:40","2025-04-10 13:18:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","4m","No","","Application: Disk 1 D:"
"Information","2025-04-10 13:13:35","2025-04-10 13:38:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","25m","No","","Application: General"
"Warning","2025-04-10 13:13:30","2025-04-10 13:19:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","6m","No","","Application: Interface Internal-Data0/1()"
"Information","2025-04-10 13:03:35","2025-04-10 13:08:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Average","2025-04-10 13:02:36","2025-04-10 23:56:36","RESOLVED","(UDI) SERVIDOR UDIPDMMPAPP01","High Memory Utilization (over  85%)","10h 54m","No","","Application: Memory, Application: TelegramKPI, GLPI: Yes, GLPICat: 2875"
"Disaster","2025-04-10 12:50:40","2025-04-10 12:51:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 12:50:39","2025-04-10 12:51:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 12:37:30","2025-04-10 12:40:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","3m","No","","Application: Interface Internal-Data0/1()"
"Warning","2025-04-10 12:35:29","2025-04-10 13:05:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: More than 100 items having missing data for more than 10 minutes","30m","No","","Application: Zabbix server"
"Disaster","2025-04-10 12:33:41","2025-04-10 12:34:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 12:33:39","2025-04-10 12:34:39","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Average","2025-04-10 12:30:20","2025-04-10 12:37:20","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","6 J:: Disk is overloaded (util > 92% for 15m)","7m","No","","Application: Disk 6 J:"
"Average","2025-04-10 12:30:17","2025-04-10 12:37:17","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","3 G:: Disk is overloaded (util > 92% for 15m)","7m","No","","Application: Disk 3 G:"
"Disaster","2025-04-10 12:29:41","2025-04-10 12:30:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hep_uat_app-umad-back_5315 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 12:27:46","2025-04-10 12:32:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Warning","2025-04-10 12:25:56","2025-04-10 23:40:56","RESOLVED","(NAP) N3K - A","Interface Ethernet1/49(): High bandwidth usage ( > 90% )","11h 15m","No","","Application: Interface Ethernet1/49()"
"Disaster","2025-04-10 12:23:39","2025-04-10 12:24:39","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Information","2025-04-10 12:23:35","2025-04-10 12:58:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","35m","No","","Application: General"
"Average","2025-04-10 12:23:31","2025-04-10 12:53:31","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","8 K:: Disk is overloaded (util > 92% for 15m)","30m","No","","Application: Disk 8 K:"
"Disaster","2025-04-10 12:11:41","2025-04-10 12:12:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 12:11:39","2025-04-10 12:12:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5005 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 12:07:30","2025-04-10 12:10:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/0(): High error rate ( > 2 for 5m)","3m","No","","Application: Interface Internal-Data0/0()"
"Average","2025-04-10 12:04:40","2025-04-10 12:41:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","37m","No","","Application: Disk 1 D:"
"Warning","2025-04-10 11:52:30","2025-04-10 11:55:30","RESOLVED","(NAP) ASA 5585 - INTERCONEXION","Interface Internal-Data0/1(): High error rate ( > 2 for 5m)","3m","No","","Application: Interface Internal-Data0/1()"
"Disaster","2025-04-10 11:41:41","2025-04-10 11:42:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_ucuc_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:41:41","2025-04-10 11:42:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_umad_5011 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:41:41","2025-04-10 11:42:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_univa_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:41:41","2025-04-10 11:42:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:41:40","2025-04-10 11:42:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5011 is not available in some capacity: red (3)","58s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:41:40","2025-04-10 11:42:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_umad_5011 is not available in some capacity: red (3)","58s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:41:39","2025-04-10 11:42:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_univa_5011 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:41:39","2025-04-10 11:42:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_ucuc_5011 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:42","2025-04-10 11:34:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_umad_5011 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:41","2025-04-10 11:34:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_ucuc_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:41","2025-04-10 11:34:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_univa_5011 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:40","2025-04-10 11:34:40","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_piloto_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:39","2025-04-10 11:34:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_piloto_5011 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:39","2025-04-10 11:34:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_univa_5011 is not available in some capacity: red (3)","59s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:38","2025-04-10 11:34:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_umad_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:33:38","2025-04-10 11:34:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_ucuc_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Warning","2025-04-10 11:32:54","2025-04-10 11:37:54","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","CPU queue length is too high (over 3 for 5m)","5m","No","","Application: CPU"
"Disaster","2025-04-10 11:27:41","2025-04-10 11:28:42","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_umad_5011 is not available in some capacity: red (3)","1m 1s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:27:41","2025-04-10 11:34:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_uao_5011 is not available in some capacity: red (3)","7m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:27:40","2025-04-10 11:28:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_ucuc_5011 is not available in some capacity: red (3)","1m 1s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:27:40","2025-04-10 11:28:41","RESOLVED","(CTEC) ILUPLB02","Pool /Common/pool_hubint_uat_hep_univa_5011 is not available in some capacity: red (3)","1m 1s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:27:39","2025-04-10 11:28:39","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_univa_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:27:39","2025-04-10 11:28:40","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_umad_5011 is not available in some capacity: red (3)","1m 1s","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:27:39","2025-04-10 11:28:39","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_ucuc_5011 is not available in some capacity: red (3)","1m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-10 11:27:38","2025-04-10 11:34:38","RESOLVED","(CTEC) ILUPLB01","Pool /Common/pool_hubint_uat_hep_uao_5011 is not available in some capacity: red (3)","7m","No","Actions (2)","Application: Pool status"
"Average","2025-04-10 11:27:31","2025-04-10 11:34:31","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","8 K:: Disk is overloaded (util > 92% for 15m)","7m","No","","Application: Disk 8 K:"
"Information","2025-04-10 11:13:35","2025-04-10 12:13:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","1h","No","","Application: General"
