"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Disaster","2025-04-30 21:43:58","2025-04-30 21:44:58","RESOLVED","(CTEC) SERVIDOR HEPPBIEIM01","ICMP PING is unavailable","1m","No","Actions (6)","Application: ICMP, GLPI: Yes, GLPICat: 2883"
"Warning","2025-04-30 21:42:25","2025-04-30 23:39:55","RESOLVED","(CTEC) SERVIDOR HEPPBIREP01","Unavailable by ICMP ping","1h 57m 30s","No","","Application: Status"
"Average","2025-04-30 21:41:02","2025-04-30 22:18:02","RESOLVED","(CTEC) SERVIDOR C3P-FTPUNIV01","Unavailable by ICMP ping","37m","No","","Application: Status, Availability: Yes"
"Disaster","2025-04-30 21:40:12","2025-04-30 23:29:12","RESOLVED","(CTEC) SERVIDOR HEPPBIREP01","Zabbix agent is not available (for 5m)","1h 49m","No","Actions (6)","Application: Status"
"High","2025-04-30 21:37:20","2025-05-01 03:08:20","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","Unavailable by ICMP ping","5h 31m","No","Actions (2)","Application: Status, Availability: Yes"
"Disaster","2025-04-30 21:34:02","2025-04-30 23:31:01","RESOLVED","(CTEC) SERVIDOR HEPPBIREP01","ICMP PING is unavailable","1h 56m 59s","No","Actions (7)","Application: ICMP, GLPI: Yes, GLPICat: 2883, TICKET: 40906, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=40906"
"Average","2025-04-30 21:31:41","2025-04-30 21:42:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","10m 59s","No","","Application: Disk 1 D:"
"Average","2025-04-30 21:31:25","2025-04-30 21:40:25","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","5 J:: Disk is overloaded (util > 92% for 15m)","9m","No","","Application: Disk 5 J:"
"Warning","2025-04-30 21:31:15","2025-04-30 22:18:15","RESOLVED","(CTEC) SERVIDOR C3P-FTPUNIV01","Unavailable by ICMP ping","47m","No","","Application: Status"
"Average","2025-04-30 21:28:43","2025-04-30 21:34:43","RESOLVED","(CTEC) SERVIDOR HEPPBIEIM01","4 G:: Disk is overloaded (util > 92% for 15m)","6m","No","","Application: Disk 4 G:"
"Average","2025-04-30 21:27:11","2025-05-01 03:08:41","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","Unavailable by ICMP ping","5h 41m 30s","No","","Application: Status, Availability: Yes"
"Disaster","2025-04-30 21:25:41","2025-05-02 11:28:01","RESOLVED","(CTEC) CMS AREA POLI","CTEC - CMS AREA POLI is not working","1d 14h 2m","No","Actions (5)","GLPI: Yes, GLPICat: 2857, TICKET: 40951, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=40951"
"Disaster","2025-04-30 21:25:26","2025-05-02 11:25:24","RESOLVED","(CTEC) FRONT MANAGER POLI","CTEC - FRONT MANAGER POLI is not working","1d 13h 59m","No","Actions (5)","GLPI: Yes, GLPICat: 2857, TICKET: 40950, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=40950"
"Disaster","2025-04-30 21:20:48","2025-04-30 21:21:48","RESOLVED","(CTEC) SERVIDOR ILUPBIEDW01","ICMP PING is unavailable","1m","No","Actions (6)","Application: ICMP, GLPI: Yes, GLPICat: 2883"
"High","2025-04-30 21:15:41","2025-04-30 22:03:41","RESOLVED","(CTEC) SERVIDOR HEPPBIODS01","High Memory Utilization ( >90% for 10m)","48m","No","Actions (2)","Application: Memory"
"Average","2025-04-30 21:15:40","2025-04-30 21:16:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","1m","No","","Application: Disk 1 D:"
"Average","2025-04-30 21:10:25","2025-04-30 21:15:25","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","5 J:: Disk is overloaded (util > 92% for 15m)","5m","No","","Application: Disk 5 J:"
"Average","2025-04-30 21:10:17","2025-04-30 21:34:17","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","3 G:: Disk is overloaded (util > 92% for 15m)","24m","No","","Application: Disk 3 G:"
"Warning","2025-04-30 21:07:46","2025-04-30 21:12:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Disaster","2025-04-30 21:04:50","2025-04-30 21:05:50","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM01","ICMP PING is unavailable","1m","No","Actions (6)","Application: ICMP, GLPI: Yes, GLPICat: 2883"
"Warning","2025-04-30 20:58:02","2025-05-01 03:09:02","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","Unavailable by ICMP ping","6h 11m","No","","Application: Status"
"High","2025-04-30 20:57:16","2025-04-30 22:20:16","RESOLVED","(POLITECNICO) SERVIDOR PGPDMMPAPP02","High Memory Utilization (over  90%)","1h 23m","No","","Application: Memory, Application: TelegramKPI, GLPI: Yes, GLPICat: 2875"
"Disaster","2025-04-30 20:55:06","2025-05-01 02:58:06","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","Zabbix agent is not available (for 5m)","6h 3m","No","Actions (6)","Application: Status"
